site,hhedu,hhhage,hhhsex,hhethnic,hhsize,u05,povline,windex3,windex5,FS_score,FS
viwandani,primary,18.0,female,Other,6,1,yes,middle,fourth,0,Secure
viwandani,primary,31.0,male,Other,1,0,yes,lowest,lowest,3,Severely insecure
viwandani,primary,45.0,male,Other,1,0,no,highest,fourth,0,Secure
viwandani,secondary,18.0,male,Other,1,0,no,middle,second,1,Moderately insecure
korogocho,secondary,58.0,male,Other,2,1,no,highest,fourth,0,Secure
viwandani,secondary,31.0,male,Other,4,2,no,middle,second,0,Secure
viwandani,secondary,24.0,female,Other,5,1,yes,lowest,second,3,Severely insecure
viwandani,primary,28.0,male,Other,3,1,yes,highest,fourth,0,Secure
korogocho,primary,26.0,female,Other,4,2,yes,highest,highest,0,Secure
korogocho,primary,36.0,female,Other,1,0,no,highest,fourth,3,Severely insecure
korogocho,primary,24.0,male,Other,2,0,yes,middle,middle,0,Secure
korogocho,primary,40.0,male,Luo,2,0,no,highest,highest,2,Moderately insecure
korogocho,secondary,26.0,male,Luo,2,0,no,highest,highest,2,Moderately insecure
korogocho,secondary,42.0,male,Kikuyu,2,0,no,highest,highest,0,Secure
viwandani,secondary,24.0,male,Kisii,2,0,no,highest,highest,2,Moderately insecure
viwandani,secondary,32.0,male,Luhya,4,1,no,middle,middle,3,Severely insecure
viwandani,secondary,25.0,male,Kamba,1,0,no,middle,middle,0,Secure
viwandani,secondary,31.0,male,Other,2,0,no,highest,highest,2,Moderately insecure
korogocho,primary,79.0,male,Kikuyu,3,1,yes,middle,middle,1,Moderately insecure
korogocho,secondary,41.0,male,Luo,2,0,no,lowest,lowest,0,Secure
viwandani,secondary,35.0,male,Kamba,3,1,yes,lowest,second,0,Secure
korogocho,secondary,20.0,male,Kikuyu,6,0,yes,highest,fourth,1,Moderately insecure
korogocho,primary,55.0,female,Kikuyu,4,0,yes,highest,fourth,2,Moderately insecure
korogocho,secondary,54.0,male,Luhya,2,0,no,highest,fourth,2,Moderately insecure
korogocho,never attended,51.0,female,Other,4,0,yes,middle,middle,1,Moderately insecure
viwandani,primary,36.0,female,Kamba,1,0,no,lowest,lowest,0,Secure
viwandani,secondary,28.0,male,Kisii,3,1,no,highest,highest,2,Moderately insecure
viwandani,secondary,37.0,male,Kamba,5,1,no,highest,fourth,3,Severely insecure
viwandani,secondary,26.0,male,Kikuyu,2,0,no,middle,middle,0,Secure
viwandani,primary,32.0,male,Kikuyu,1,0,no,highest,highest,2,Moderately insecure
viwandani,secondary,33.0,female,Kikuyu,3,0,yes,highest,fourth,0,Secure
viwandani,primary,24.0,female,Kamba,3,1,no,highest,fourth,0,Secure
korogocho,primary,35.0,female,Luo,4,1,yes,middle,middle,3,Severely insecure
viwandani,primary,45.0,male,Kamba,1,0,no,middle,middle,0,Secure
viwandani,primary,37.0,male,Luhya,1,0,no,lowest,lowest,2,Moderately insecure
viwandani,secondary,48.0,male,Kisii,6,0,yes,highest,fourth,0,Secure
korogocho,primary,69.0,female,Kamba,6,0,yes,highest,highest,3,Severely insecure
viwandani,secondary,35.0,male,Kamba,1,0,no,middle,middle,0,Secure
viwandani,secondary,38.0,male,Kamba,3,0,no,highest,highest,3,Severely insecure
viwandani,highest,23.0,female,Kikuyu,3,1,yes,middle,middle,3,Severely insecure
viwandani,secondary,39.0,male,Luhya,3,0,no,middle,middle,3,Severely insecure
viwandani,secondary,26.0,male,Kikuyu,6,1,yes,middle,middle,2,Moderately insecure
viwandani,secondary,26.0,male,Kamba,3,0,no,highest,fourth,0,Secure
viwandani,secondary,24.0,female,Kikuyu,1,0,no,middle,middle,0,Secure
viwandani,highest,24.0,male,Kikuyu,2,0,no,highest,fourth,2,Moderately insecure
viwandani,secondary,36.0,male,Kamba,5,2,yes,highest,highest,2,Moderately insecure
korogocho,never attended,41.0,female,Other,5,1,yes,middle,middle,3,Severely insecure
viwandani,primary,34.0,male,Kikuyu,4,2,no,middle,fourth,0,Secure
viwandani,primary,62.0,female,Kisii,1,0,yes,middle,second,0,Secure
korogocho,primary,54.0,male,Kikuyu,7,1,yes,highest,highest,0,Secure
viwandani,secondary,41.0,female,Kikuyu,5,0,no,highest,highest,0,Secure
viwandani,secondary,49.0,male,Kamba,3,1,no,highest,highest,2,Moderately insecure
korogocho,primary,53.0,male,Luhya,2,0,no,lowest,second,1,Moderately insecure
