ID,site,hhedu,hhhage,hhhsex,hhethnic,hhsize,u05,povline,windex3,windex5,FS_score,FS
766,viwandani,primary,18,female,Other,6,1,yes,middle,fourth,0,Secure
6540,viwandani,primary,31,male,Other,1,0,yes,lowest,lowest,3,Severely insecure
9327,viwandani,primary,45,male,Other,1,0,no_(2),highest,fourth,0,Secure
9563,viwandani,secondary,18,male,Other,1,0,no_(2),middle,second,1,Moderately insecure
9631,korogocho,secondary,58,male,Other,2,1,no_(2),highest,fourth,0,Secure
10340,viwandani,secondary,31,male,Other,4,2,no_(2),middle,second,0,Secure
12360,viwandani,secondary,24,female,Other,5,1,yes,lowest,second,3,Severely insecure
12573,viwandani,primary,28,male,Other,3,1,yes,highest,fourth,0,Secure
12899,korogocho,primary,26,female,Other,4,2,yes,highest,highest,0,Secure
14372,korogocho,primary,36,female,Other,1,0,no_(2),highest,fourth,3,Severely insecure
18357,korogocho,primary,24,male,Other,2,0,yes,middle,middle,0,Secure
1,korogocho,primary,40,male,Luo,2,0,no_(2),highest,highest,2,Moderately insecure
2,korogocho,secondary,26,male,Luo,2,0,no_(2),highest,highest,2,Moderately insecure
4,korogocho,secondary,42,male,Kikuyu,2,0,no_(2),highest,highest,0,Secure
5,viwandani,secondary,24,male,Kisii,2,0,no_(2),highest,highest,2,Moderately insecure
6,viwandani,secondary,32,male,Luhya,4,1,no_(2),middle,middle,3,Severely insecure
7,viwandani,secondary,25,male,Kamba,1,0,no_(2),middle,middle,0,Secure
8,viwandani,secondary,31,male,Other,2,0,no_(2),highest,highest,2,Moderately insecure
12,korogocho,primary,79,male,Kikuyu,3,1,yes,middle,middle,1,Moderately insecure
17,korogocho,secondary,41,male,Luo,2,0,no_(2),lowest,lowest,0,Secure
18,viwandani,secondary,35,male,Kamba,3,1,yes,lowest,second,0,Secure
21,korogocho,secondary,20,male,Kikuyu,6,0,yes,highest,fourth,1,Moderately insecure
22,korogocho,primary,55,female,Kikuyu,4,0,yes,highest,fourth,2,Moderately insecure
24,korogocho,secondary,54,male,Luhya,2,0,no_(2),highest,fourth,2,Moderately insecure
25,korogocho,never attended,51,female,Other,4,0,yes,middle,middle,1,Moderately insecure
26,viwandani,primary,36,female,Kamba,1,0,no_(2),lowest,lowest,0,Secure
27,viwandani,secondary,28,male,Kisii,3,1,no_(2),highest,highest,2,Moderately insecure
28,viwandani,secondary,37,male,Kamba,5,1,no_(2),highest,fourth,3,Severely insecure
31,viwandani,secondary,26,male,Kikuyu,2,0,no_(2),middle,middle,0,Secure
33,viwandani,primary,32,male,Kikuyu,1,0,no_(2),highest,highest,2,Moderately insecure
34,viwandani,secondary,33,female,Kikuyu,3,0,yes,highest,fourth,0,Secure
36,viwandani,primary,24,female,Kamba,3,1,no_(2),highest,fourth,0,Secure
37,korogocho,primary,35,female,Luo,4,1,yes,middle,middle,3,Severely insecure
41,viwandani,primary,45,male,Kamba,1,0,no_(2),middle,middle,0,Secure
44,viwandani,primary,37,male,Luhya,1,0,no_(2),lowest,lowest,2,Moderately insecure
48,viwandani,secondary,48,male,Kisii,6,0,yes,highest,fourth,0,Secure
49,korogocho,primary,69,female,Kamba,6,0,yes,highest,highest,3,Severely insecure
50,viwandani,secondary,35,male,Kamba,1,0,no_(2),middle,middle,0,Secure
52,viwandani,secondary,38,male,Kamba,3,0,no_(2),highest,highest,3,Severely insecure
53,viwandani,highest,23,female,Kikuyu,3,1,yes,middle,middle,3,Severely insecure
54,viwandani,secondary,39,male,Luhya,3,0,no_(2),middle,middle,3,Severely insecure
55,viwandani,secondary,26,male,Kikuyu,6,1,yes,middle,middle,2,Moderately insecure
56,viwandani,secondary,26,male,Kamba,3,0,no_(2),highest,fourth,0,Secure
57,viwandani,secondary,24,female,Kikuyu,1,0,no_(2),middle,middle,0,Secure
58,viwandani,highest,24,male,Kikuyu,2,0,no_(2),highest,fourth,2,Moderately insecure
62,viwandani,secondary,36,male,Kamba,5,2,yes,highest,highest,2,Moderately insecure
63,korogocho,never attended,41,female,Other,5,1,yes,middle,middle,3,Severely insecure
64,viwandani,primary,34,male,Kikuyu,4,2,no_(2),middle,fourth,0,Secure
65,viwandani,primary,62,female,Kisii,1,0,yes,middle,second,0,Secure
66,korogocho,primary,54,male,Kikuyu,7,1,yes,highest,highest,0,Secure
68,viwandani,secondary,41,female,Kikuyu,5,0,no_(2),highest,highest,0,Secure
69,viwandani,secondary,49,male,Kamba,3,1,no_(2),highest,highest,2,Moderately insecure
70,korogocho,primary,53,male,Luhya,2,0,no_(2),lowest,second,1,Moderately insecure
71,korogocho,primary,36,male,Luo,8,2,yes,lowest,second,1,Moderately insecure
72,korogocho,primary,27,female,Kikuyu,4,1,yes,lowest,lowest,3,Severely insecure
74,korogocho,primary,28,female,Luo,6,2,yes,middle,middle,3,Severely insecure
75,viwandani,secondary,29,male,Kamba,2,0,no_(2),lowest,lowest,2,Moderately insecure
76,korogocho,primary,36,male,Luhya,5,1,yes,middle,middle,3,Severely insecure
77,korogocho,primary,47,female,Luo,3,0,no_(2),middle,middle,3,Severely insecure
